zipcode,Year,flood_count,max_severity,median_dead,median_displaced,median_duration,median_area,zipcode_3area,flood_count_total_10,max_severity_avg_10,median_dead_avg_10,median_displaced_avg_10,median_duration_avg_10,median_area_avg_10,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
78666,2007,1,1.0,2.0,0.0,2.0,11015.63,786,4.0,1.0,3.0,475.0,7.5,67006.18,2.56,171.49,208.51,129.09
78642,2013,1,2.0,4.0,4800.0,10.0,38936.39,786,6.0,1.1666666666666667,3.5,475.0,7.5,72999.715,3.0,176.98,,139.37
79765,1986,1,1.0,3.0,0.0,3.0,49574.37,797,1.0,1.0,3.0,0.0,3.0,49574.37,-12.46,87.54,109.05,84.79
79915,2006,1,1.0,1.0,5000.0,11.0,3609.62,799,1.0,1.0,1.0,5000.0,11.0,3609.62,16.74,142.3,,149.71
80534,1997,1,1.0,5.0,400.0,7.0,15184.9,805,1.0,1.0,5.0,400.0,7.0,15184.9,6.89,164.65,,79.25
81023,2013,1,2.0,10.0,11000.0,8.0,100404.04,810,1.0,2.0,10.0,11000.0,8.0,100404.04,5.29,137.43,,127.21
84040,1991,1,2.0,0.0,0.0,3.0,24977.94,840,1.0,2.0,0.0,0.0,3.0,24977.94,3.1,185.95,103.1,58.91
84783,2005,1,2.0,1.0,850.0,3.0,71018.19,847,1.0,2.0,1.0,850.0,3.0,71018.19,27.94,242.54,,155.11
85544,2017,1,2.0,9.0,0.0,1.0,9110.64,855,1.0,2.0,9.0,0.0,1.0,9110.64,10.16,181.99,,155.23
89406,1999,1,1.0,2.0,0.0,1.0,4316.89,894,1.0,1.0,2.0,0.0,1.0,4316.89,-0.39,215.85,116.95,96.57
89408,2008,1,1.0,0.0,1500.0,4.0,551.192,894,3.0,1.0,0.0,0.0,4.0,4316.89,-23.42,235.28,196.98,139.88
90247,2003,1,1.0,18.0,0.0,1.0,254.649,902,1.0,1.0,18.0,0.0,1.0,254.649,14.57,625.07,131.34,143.59
90266,2018,1,2.0,15.0,1200.0,2.0,12771.17,902,2.0,1.5,16.5,600.0,1.5,6512.9095,1.77,2220.62,303.78,228.72
91755,1992,1,2.0,8.0,0.0,2.0,4604.18,917,1.0,2.0,8.0,0.0,2.0,4604.18,-0.32,523.56,95.83,101.04
91776,2005,1,1.0,4.0,500.0,3.0,11751.45,917,2.0,1.5,6.0,250.0,2.5,8177.8150000000005,23.91,1085.7,219.05,211.56
92277,2003,1,1.0,3.0,30.0,0.0,5002.79,922,1.0,1.0,3.0,30.0,0.0,5002.79,9.95,121.32,,131.76
92404,2003,1,1.0,15.0,0.0,1.0,257.162,924,1.0,1.0,15.0,0.0,1.0,257.162,14.12,468.79,140.88,138.77
93066,2003,1,1.0,0.0,0.0,1.0,29456.33,930,1.0,1.0,0.0,0.0,1.0,29456.33,10.38,273.69,170.12,141.22
