ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,zipcode
1470,0,USA,0,-95.4957,30.8786,15178.46,1998-11-13,1998-11-15,News,0,100,Heavy rain,1.0,77320
1479,0,USA,0,-121.499,45.7332,105292.02,1998-12-27,1998-12-30,News,0,70,Heavy rain,1.0,98651
1485,0,USA,,-86.4337,39.2186,18264.99,1999-01-04,1999-01-10,News,0,0,0,1.0,47408
1486,0,USA,,-82.9781,40.092,21898.24,1999-01-04,1999-01-10,News,0,0,0,1.0,43229
1487,0,USA,0,-94.7091,32.2778,56744.18,1999-02-01,1999-02-05,News,0,0,Heavy rain,1.0,75652
1501,0,USA,0,-97.211,48.7569,9610.7,1999-04-01,1999-04-14,News,0,0,Snowmelt,1.0,58236
1506,0,USA,0,-106.211,40.5341,58491.35,1999-04-29,1999-05-06,News,0,450,Heavy rain,2.0,80430
1520,0,USA,0,-97.1147,37.6634,263026.77,1999-06-28,1999-07-05,News,4,50,Brief torrential rain,1.0,67002
1524,0,USA,0,-118.292,39.3177,4316.89,1999-07-08,1999-07-09,News,2,0,Brief torrential rain,1.0,89406
1531,0,USA,0,-94.4195,43.794,56673.45,1999-07-02,1999-07-24,News,1,1500,Brief torrential rain,2.0,56088
1538,0,USA,0,-101.639,43.9886,73290.6,1999-08-06,1999-08-08,News,1,0,Heavy rain,1.0,57567
1544,0,USA,0,-92.7549,50.3392,29344.17,1999-07-04,1999-07-05,News,0,0,Heavy rain,1.0,
1555,0,USA,0,-76.7187,38.6028,175232.64,1999-09-14,1999-10-10,News,68,35000,Tropical cyclone,2.0,20608
1570,0,USA,0,-124.075,45.1703,18279.39,1999-11-26,1999-11-28,News,0,100,Heavy rain,2.0,97112
1585,0,USA,0,-83.55,37.7227,55642.9,2000-02-18,2000-02-22,News,8,40,Heavy rain,1.0,41301
1594,0,USA,0,-99.9306,33.7394,24096.74,2000-03-29,2000-03-31,News,3,0,Brief torrential rain,1.0,79505
1652,0,USA,0,-113.627,33.7958,313.934,2000-10-22,2000-10-23,News,1,500,Brief torrential rain,1.0,85348
1659,0,USA,0,-155.099,19.7397,86.6495,2000-11-02,2000-11-03,News,0,100,Heavy rain,1.0,96781
1661,0,USA,0,-99.3783,30.6009,9655.08,2000-11-02,2000-11-07,News,6,0,0,1.0,76854
1697,0,USA,0,-90.3139,41.5085,24.3252,2001-02-27,2001-03-01,News,0,200,Ice jam/break-up,2.0,61241
1712,0,USA,0,-90.4728,42.657,63376.98,2001-04-15,2001-05-15,News,1,4400,Snowmelt,2.0,53807
1723,0,USA,0,-66.841,18.0491,245.95,2001-05-06,2001-05-07,News,2,0,Heavy rain,1.0,00698
1729,0,USA,0,-157.137,64.9787,4095.94,2001-05-24,2001-05-30,News,0,32,Ice jam/break-up,1.0,
1733,0,USA,0,-93.6825,29.7675,32060.65,2001-06-06,2001-06-13,News,47,30000,Tropical cyclone,1.0,77655
1746,0,USA,0,-81.8767,37.8401,8533.79,2001-07-08,2001-07-09,News,2,6000,Heavy rain,2.0,25654
1754,0,USA,0,-84.5578,39.5376,1713.61,2001-07-17,2001-07-18,News,3,0,Brief torrential rain,2.0,45064
1761,0,USA,0,-81.566,37.3243,14006.98,2001-07-29,2001-07-29,News,2,300,Heavy rain,1.0,24830
1769,0,USA,0,-83.0259,37.0795,19308.47,2001-08-03,2001-08-04,News,2,100,Heavy rain,1.0,41821
1825,0,USA,0,-99.8764,29.8942,7733.72,2001-11-15,2001-11-19,News,10,0,Heavy rain,1.0,78828
1829,0,USA,0,-89.8684,35.1833,132283.24,2001-11-28,2001-12-07,News,1,400,Heavy rain,1.0,38134
1840,0,USA,0,-91.7958,34.9309,45272.89,2001-12-17,2001-12-25,News,3,100,Heavy rain,1.0,72176
1867,0,USA,0,-85.6892,35.6744,87111.92,2002-01-23,2002-01-29,News,6,0,Heavy rain,1.0,37110
1868,0,USA,0,-157.92,21.361,655.981,2002-01-26,2002-01-28,News,3,0,Heavy rain,1.0,96860
1904,0,USA,0,-89.5756,46.4874,22335.39,2002-04-17,2002-04-22,News,0,300,Heavy rain,2.0,49910
1911,0,USA,0,-99.3162,32.7318,312.833,2002-04-25,2002-04-27,News,1,32,Heavy rain,2.0,76430
1916,0,USA,0,-81.9867,37.5469,19788.37,2002-05-02,2002-05-08,News,9,1000,Heavy rain,1.0,25651
1919,0,USA,0,-88.2883,39.1954,257337.97,2002-05-07,2002-06-08,News,9,100,Heavy rain,1.0,62436
1920,0,USA,0,-157.366,59.4398,684.754,2002-05-07,2002-05-09,News,0,24,Ice jam/break-up,1.0,
1927,0,USA,0,-75.8722,41.2484,654.578,2002-05-28,2002-05-30,News,0,0,Heavy rain,1.0,18702
1935,0,USA,0,-77.1518,42.8491,5261.39,2002-05-30,2002-06-01,News,0,0,Heavy rain,2.0,14561
1937,0,USA,0,-91.0233,42.2633,43981.36,2002-06-04,2002-06-06,News,0,500,Heavy rain,1.0,52033
1943,0,USA,0,-95.9064,47.3407,47497.79,2002-06-08,2002-06-29,News,0,0,Heavy rain,2.0,56557
1950,0,USA,0,-72.4438,44.533,11377.32,2002-06-12,2002-06-14,News,0,0,Heavy rain,1.0,05680
1979,0,USA,0,-101.738,41.0922,712.688,2002-07-06,2002-07-08,News,1,0,Heavy rain,1.0,69153
2006,0,USA,0,-80.6862,37.2114,2046.79,2002-07-25,2002-07-27,News,0,100,Heavy rain,1.0,24167
2007,0,USA,0,-156.216,62.2333,17605.45,2002-04-27,2002-05-31,News,0,0,Snowmelt,1.0,
2056,0,USA,0,-96.0297,29.6511,97964.82,2002-09-06,2002-09-19,News,0,0,Heavy rain,1.0,77485
2057,0,USA,0,-84.8804,31.0424,5643.54,2002-09-21,2002-09-24,News,0,0,Heavy rain,1.0,39845
2063,0,USA,0,-90.0119,29.8703,31074.07,2002-09-26,2002-09-29,News,1,2500,Tropical cyclone,1.0,70056
2064,0,USA,0,-83.9795,22.3815,20039.47,2002-09-29,2002-10-07,News,8,317000,Heavy rain,1.0,
2066,0,USA,0,-89.9243,34.6073,11708.02,2002-10-10,2002-10-12,News,3,0,Heavy rain,1.0,38668
2067,0,USA,0,-99.2878,26.7222,16617.71,2002-10-10,2002-10-15,News,1,800,Heavy rain,1.0,78564
2075,0,USA,0,-150.891,60.3357,13912.96,2002-10-24,2002-10-28,News,0,0,Heavy rain,2.0,99669
2076,0,USA,0,-96.0297,29.6511,106239.37,2002-10-23,2002-11-13,News,1,75,Heavy rain,1.0,77485
2091,0,USA,0,-147.024,64.5052,590.451,2002-11-19,2002-11-21,News,0,0,Ice jam/break-up,1.0,99702
2096,0,USA,0,-151.454,59.9306,1721.59,2002-11-23,2002-11-25,News,0,0,Heavy rain,1.0,99556
2104,0,USA,0,-122.478,38.9397,44627.03,2002-12-14,2002-12-24,News,6,0,Heavy rain,1.0,95457
2113,0,USA,0,-124.001,40.2055,20634.73,2002-12-28,2002-12-31,News,0,0,Heavy rain,1.0,95560
2115,0,USA,0,-92.6206,31.8332,457677.64,2003-01-01,2003-01-06,News,0,0,Heavy rain,1.0,71483
2121,0,USA,0,-147.248,64.6959,1681.67,2003-01-04,2003-01-08,News,0,0,Ice Jams,1.0,99705
2155,0,USA,0,-119.012,34.3071,29456.33,2003-02-12,2003-02-13,News,0,0,Heavy rain,1.0,93066
2159,0,USA,0,-82.2846,37.6968,42499.87,2003-02-15,2003-02-18,News,2,100,Rain and snow,1.0,25661
2167,0,USA,0,-90.0652,31.4633,785574.94,2003-02-22,2003-03-17,News,1,0,Heavy rain,1.0,39656
2168,0,USA,0,-80.6513,37.679,82478.43,2003-02-22,2003-02-23,News,2,0,Heavy rain,1.0,24993
2177,0,USA,0,-88.0179,37.411,32682.01,2003-02-26,2003-03-07,News,0,0,Heavy rain,1.0,42403
